incident_id,incident_name,impersonation_target,manipulated_medium,false_claim,victim_action,harm_type,damage_amount,verification_failure,painpoint_axis,source_channel,source_url
C01,캄보디아 한국인 부부 딥페이크 로맨스스캠 투자리딩 사기,딥페이크로 생성한 가공의 '투자전문가' 인물(유튜브 영상),영상 deepfake(AI 생성 유튜브 영상) + 로맨스스캠 채팅,딥페이크 영상 속 투자전문가의 리딩을 따르면 수익을 낼 수 있다는 투자권유,투자금 송금(투자 리딩 지시에 따라 입금),투자금 편취 / 범죄단체 조직·보이스피싱,약 101억원(피해자 97명),"유튜브에 올라온 '투자전문가' 영상이 실존 인물의 실제 발언인지 확인할 수단이 없었고, 영상 속 리딩 근거의 진위도 검증 불가",①② 둘 다,02,http://www.edaily.co.kr/news/newspath.asp?newsid=04877366645350192
C02,캄보디아 거점 증권사 사칭 'AI 추천주' 리딩방 99억 사기,"국내 증권사 및 증권사 비서, 유명 주식 전문가",가짜 증권사 앱 + 유명 전문가 유튜브 영상 도용·가짜 계정,'AI 추천 종목'으로 600% 수익 보장,가짜 투자앱 설치 후 투자금 입금,투자금 편취(가짜 HTS·앱으로 수익 화면 위조),"약 99억원(피해자 59명, 의사·세무사 포함)","유튜브 댓글의 상담 링크와 가짜 계정이 실제 전문가/증권사 소속인지 확인 불가, 'AI 추천주 600% 수익'이라는 주장의 근거도 검증 불가",①② 둘 다,02,https://www.news1.kr/society/incident-accident/6194285
C03,FXRP 가짜 스테이킹 사이트 가상자산 사기(대역배우·유명인 사칭),"업비트 개발자, '리플(XRP) 읽어주는 OO' 등 실존 유명인 및 FXRP 프로젝트명",유명인 사칭 유튜브 영상(대역배우 동원) + 가짜 투자 사이트·언론기사,FXRP 네트워크 스테이킹(예치) 서비스로 투자수익을 보장한다는 주장,가짜 사이트에 가상자산 예치·투자금 납입,유사수신·투자금 편취,약 273억원(검거 시점 확인 피해 123억원),"영상 속 인물이 실제 해당 유명인인지(대역배우 여부) 확인 불가, FXRP 스테이킹 상품의 실재 여부와 수익보장 주장의 사실성 검증 불가",①② 둘 다,02,https://www.news1.kr/society/incident-accident/6244007
C04,wXRP 리플 사기 사이트 22억 피해,유명 유튜버(외모·목소리 유사),영상 deepfake(얼굴·음성 유사 합성 추정),예치하면 매일 이자를 지급한다는 리플 관련 투자 수익 주장,사이트에 투자금 납입,초기 수익 지급 후 사이트 폐쇄·먹튀,약 22억원(피해자 35명),피해자 진술상 '영상 속 인물이 유명 유튜버와 외모·목소리가 매우 유사해 사기를 의심하지 못했다' — 영상 진위를 사후에야 딥페이크로 인지,①② 둘 다,02,https://www.sisajournal.com/news/articleView.html?idxno=374128
C05,불법 핀플루언서 사칭 5060 퇴직금 투자사기(금감원 적발),"유명 핀플루언서, 금융회사(증권사 등)",실제 유튜브 채널 프로필·로고를 도용한 가짜 채널 + 가짜 영상·댓글,유명 핀플루언서/금융회사 명의의 고수익 종목 추천 및 리딩,불법 주식 리딩방 가입 및 투자금(퇴직금) 납입,투자금 편취,1인당 평균 1.8억원(5060 세대 피해 사례),"가짜 채널이 실제 핀플루언서·금융회사의 공식 채널인지 식별 불가, 영상·댓글의 수익 인증 내용이 사실인지 검증 불가",①② 둘 다,02,http://www.edaily.co.kr/news/newspath.asp?newsid=03670326645420712
C06,'순찰24시' AI 가짜 경찰 바디캠 영상 유포 + 투자 리딩 부당이득,경찰(경찰 보디캠 영상 형식),AI 생성 영상(실제 경찰 바디캠 영상으로 위장),허위 수익 전망 및 허위 수익 인증을 앞세운 투자 리딩,리딩 지시에 따른 매매(투자자 손실 유도),"부당이득 취득 및 투자자 손실 유도, 자본시장법 위반",약 3000만원(부당이득),"AI 생성 영상을 '실제 촬영된 공적 기록물(경찰 바디캠)'로 오인 — 영상의 출처·생성방식 확인 불가, 제시된 수익 인증의 진위 검증 불가",①② 둘 다,02,https://www.hani.co.kr/arti/area/capital/1242885.html
C07,LS증권 사칭 이메일을 통한 무단 인출 사고,증권사 고객(해킹된 이메일 계정 명의),텍스트(사칭·해킹 이메일),고객 본인의 정상적인 거래·출금 지시라는 위장,증권사가 이메일 지시에 따라 자금 인출·거래 처리,무단 인출 및 투자 기회 손실,"직접 피해 30억~40억원, 피해자 주장 총 약 80억원",이메일·메신저만으로 본인 확인이 이뤄져 지시자의 신원(실제 고객 여부)을 확인할 수단이 없었음,① media authenticity,02,https://www.smartbizn.com/news/articleView.html?idxno=148082
C08,딥페이크 유명인 투자광고에 속은 개인투자자 4천만원 피해,"유명 투자 전문가(실존 유명인, 광고 속 인물은 가상인물)",영상 deepfake(SNS 투자광고),고급 투자정보 제공·원금보장·고수익,투자금 4000만원 송금,투자금 전액 손실,4000만원 이상,"광고 영상 속 '투자 전문가'가 실존 인물인지 확인 불가(실제로는 가상인물), 원금보장·고수익 주장의 사실성 검증 불가",①② 둘 다,02,http://www.fnnews.com/news/202602081845194275
C09,'MZ 조폭' 투자자문업체 사칭 손실복구 미끼 18억 편취,정상 투자자문업체,텍스트(오픈채팅방·사칭 계정),"기존 리딩방 손실을 복구해주겠다, 비상장 주식을 싸게 살 수 있다는 허위정보",비상장 주식 매수 명목 투자금 납입,투자금 편취,약 18억원,"접근 주체가 실제 등록 투자자문업체인지 확인 불가, '비상장 주식 저가 매수' 정보의 사실 여부 검증 불가",② claim verification,02,https://www.mk.co.kr/article/11454482
C10,일본 80대 여성 딥페이크 기업경영자 영상 투자사기(대만 조직),일본 유명 기업 경영자,영상 deepfake(동영상 플랫폼 게시),수익률 600% 보장,투자금 송금,투자금 편취 후 연락 두절,약 9억원,"동영상 플랫폼의 경영자 영상이 실제 발언인지 확인 불가, 600% 수익률 주장의 근거 검증 불가",①② 둘 다,02,https://www.seoul.co.kr/news/international/2026/07/16/20260716500101
